C2324,1,0,JK,Urban,Household_duties,10418,908,9510,2432,147,2285,2485,201,2284,432,39,393,1048,128,920,411,53,358,406,48,358,2368,137,2231,836,155,681
C2324,1,0,JK,Urban,Dependent,24843,12188,12655,3956,1740,2216,4626,2004,2622,914,463,451,3754,1903,1851,2044,1232,812,1626,970,656,3427,1630,1797,4496,2246,2250
C2324,1,0,JK,Urban,Pensioner,2482,1936,546,621,484,137,521,405,116,75,59,16,453,337,116,65,55,10,83,64,19,409,337,72,255,195,60
C2324,1,0,JK,Urban,Rentier,93,63,30,17,9,8,19,12,7,2,1,1,18,13,5,3,2,1,7,5,2,11,9,2,16,12,4
C2324,1,0,JK,Urban,Beggar _Vagrants_etc.,132,94,38,18,10,8,11,8,3,5,4,1,29,24,5,13,7,6,18,12,6,16,14,2,22,15,7
C2324,1,0,JK,Urban,Others,4849,2356,2493,736,351,385,874,345,529,245,119,126,778,441,337,291,162,129,365,182,183,1090,494,596,470,262,208
C2324,2,0,HP,Total,Total,86399,42590,43809,14016,6086,7930,13051,5668,7383,4302,2298,2004,18015,9391,8624,6153,3501,2652,3572,2021,1551,12950,6158,6792,14340,7467,6873
C2324,2,0,HP,Total,Student,18758,10724,8034,3099,1700,1399,3068,1624,1444,1691,1014,677,2335,1460,875,1662,967,695,336,193,143,5074,2799,2275,1493,967,526
C2324,2,0,HP,Total,Household_duties,9458,1255,8203,1681,194,1487,1854,192,1662,472,63,409,1942,302,1640,535,121,414,369,64,305,1888,175,1713,717,144,573
C2324,2,0,HP,Total,Dependent,42496,21219,21277,6364,2665,3699,5395,2285,3110,1600,900,700,9457,4790,4667,3401,2068,1333,2379,1421,958,4090,2105,1985,9810,4985,4825
C2324,2,0,HP,Total,Pensioner,11006,6678,4328,2273,1255,1018,2176,1294,882,320,213,107,3005,1985,1020,206,119,87,202,126,76,1000,626,374,1824,1060,764
C2324,2,0,HP,Total,Rentier,115,76,39,24,14,10,21,16,5,5,4,1,29,18,11,3,1,2,4,4,0,14,8,6,15,11,4
C2324,2,0,HP,Total,Beggar _Vagrants_etc.,148,112,36,13,11,2,5,3,2,2,1,1,50,39,11,11,7,4,21,15,6,20,17,3,26,19,7
C2324,2,0,HP,Total,Others,4418,2526,1892,562,247,315,532,254,278,212,103,109,1197,797,400,335,218,117,261,198,63,864,428,436,455,281,174
C2324,2,0,HP,Rural,Total,78159,38766,39393,12804,5550,7254,11416,5023,6393,3801,2075,1726,16718,8765,7953,5456,3128,2328,3227,1808,1419,11309,5480,5829,13428,6937,6491
C2324,2,0,HP,Rural,Student,16328,9380,6948,2703,1474,1229,2510,1347,1163,1466,914,552,2154,1348,806,1477,859,618,298,170,128,4438,2472,1966,1282,796,486
C2324,2,0,HP,Rural,Household_duties,7983,1156,6827,1448,176,1272,1507,177,1330,387,56,331,1719,283,1436,455,108,347,334,63,271,1489,154,1335,644,139,505
C2324,2,0,HP,Rural,Dependent,39661,19740,19921,6004,2496,3508,4942,2096,2846,1471,821,650,8967,4544,4423,3032,1854,1178,2179,1288,891,3743,1916,1827,9323,4725,4598
C2324,2,0,HP,Rural,Pensioner,10183,6160,4023,2139,1179,960,1989,1175,814,295,194,101,2775,1837,938,175,102,73,176,106,70,894,563,331,1740,1004,736
C2324,2,0,HP,Rural,Rentier,69,49,20,17,11,6,11,9,2,2,2,0,13,11,2,3,1,2,2,2,0,10,5,5,11,8,3
C2324,2,0,HP,Rural,Beggar _Vagrants_etc.,70,55,15,7,6,1,1,1,0,1,0,1,14,13,1,9,6,3,14,10,4,11,10,1,13,9,4
C2324,2,0,HP,Rural,Others,3865,2226,1639,486,208,278,456,218,238,179,88,91,1076,729,347,305,198,107,224,169,55,724,360,364,415,256,159
C2324,2,0,HP,Urban,Total,8240,3824,4416,1212,536,676,1635,645,990,501,223,278,1297,626,671,697,373,324,345,213,132,1641,678,963,912,530,382
C2324,2,0,HP,Urban,Student,2430,1344,1086,396,226,170,558,277,281,225,100,125,181,112,69,185,108,77,38,23,15,636,327,309,211,171,40
C2324,2,0,HP,Urban,Household_duties,1475,99,1376,233,18,215,347,15,332,85,7,78,223,19,204,80,13,67,35,1,34,399,21,378,73,5,68
C2324,2,0,HP,Urban,Dependent,2835,1479,1356,360,169,191,453,189,264,129,79,50,490,246,244,369,214,155,200,133,67,347,189,158,487,260,227
C2324,2,0,HP,Urban,Pensioner,823,518,305,134,76,58,187,119,68,25,19,6,230,148,82,31,17,14,26,20,6,106,63,43,84,56,28
C2324,2,0,HP,Urban,Rentier,46,27,19,7,3,4,10,7,3,3,2,1,16,7,9,0,0,0,2,2,0,4,3,1,4,3,1
C2324,2,0,HP,Urban,Beggar _Vagrants_etc.,78,57,21,6,5,1,4,2,2,1,1,0,36,26,10,2,1,1,7,5,2,9,7,2,13,10,3
C2324,2,0,HP,Urban,Others,553,300,253,76,39,37,76,36,40,33,15,18,121,68,53,30,20,10,37,29,8,140,68,72,40,25,15
C2324,3,0,PUNJAB,Total,Total,437743,202928,234815,55688,23450,32238,92576,36111,56465,17290,8255,9035,83286,41798,41488,37580,21099,16481,18357,10568,7789,100139,43011,57128,32827,18636,14191
C2324,3,0,PUNJAB,Total,Student,104283,58969,45314,13140,7302,5838,28556,15467,13089,4885,2973,1912,11987,7331,4656,6040,3619,2421,1273,809,464,34351,18922,15429,4051,2546,1505
C2324,3,0,PUNJAB,Total,Household_duties,99789,9210,90579,13332,1023,12309,24703,1640,23063,4217,412,3805,19300,1975,17325,5754,1004,4750,3048,517,2531,25746,1984,23762,3689,655,3034
C2324,3,0,PUNJAB,Total,Dependent,177109,101860,75249,20869,10861,10008,29759,13997,15762,6450,3834,2616,35784,22296,13488,22972,14589,8383,11828,7728,4100,28297,15530,12767,21150,13025,8125
C2324,3,0,PUNJAB,Total,Pensioner,28637,16938,11699,5603,2901,2702,4991,2803,2188,719,454,265,8219,5209,3010,941,593,348,885,535,350,4859,3050,1809,2420,1393,1027
C2324,3,0,PUNJAB,Total,Rentier,986,690,296,157,96,61,168,95,73,36,23,13,301,227,74,46,35,11,64,55,9,140,105,35,74,54,20
C2324,3,0,PUNJAB,Total,Beggar _Vagrants_etc.,1296,825,471,89,69,20,92,63,29,34,20,14,391,269,122,49,38,11,59,41,18,444,244,200,138,81,57
C2324,3,0,PUNJAB,Total,Others,25643,14436,11207,2498,1198,1300,4307,2046,2261,949,539,410,7304,4491,2813,1778,1221,557,1200,883,317,6302,3176,3126,1305,882,423
C2324,3,0,PUNJAB,Rural,Total,289921,136521,153400,38008,16129,21879,53571,21122,32449,11461,5518,5943,60843,30921,29922,25008,14117,10891,12592,7227,5365,65182,28182,37000,23256,13305,9951
C2324,3,0,PUNJAB,Rural,Student,65360,37379,27981,8172,4558,3614,15585,8536,7049,3225,1997,1228,8700,5345,3355,4067,2457,1610,863,545,318,21938,12139,9799,2810,1802,1008
C2324,3,0,PUNJAB,Rural,Household_duties,65936,6509,59427,8821,751,8070,14342,1022,13320,2813,283,2530,13991,1503,12488,4001,700,3301,2132,375,1757,17315,1392,15923,2521,483,2038
C2324,3,0,PUNJAB,Rural,Dependent,118901,69961,48940,14696,7675,7021,17697,8632,9065,4300,2587,1713,26075,16529,9546,14988,9678,5310,8053,5278,2775,18057,10274,7783,15035,9308,5727
C2324,3,0,PUNJAB,Rural,Pensioner,22184,12722,9462,4590,2302,2288,3470,1821,1649,494,298,196,6540,4074,2466,773,481,292,713,418,295,3612,2220,1392,1992,1108,884
C2324,3,0,PUNJAB,Rural,Rentier,571,416,155,96,61,35,81,56,25,14,9,5,197,151,46,28,22,6,31,28,3,83,63,20,41,26,15
C2324,3,0,PUNJAB,Rural,Beggar _Vagrants_etc.,259,202,57,37,29,8,25,17,8,12,8,4,56,50,6,21,18,3,34,27,7,57,38,19,17,15,2
C2324,3,0,PUNJAB,Rural,Others,16710,9332,7378,1596,753,843,2371,1038,1333,603,336,267,5284,3269,2015,1130,761,369,766,556,210,4120,2056,2064,840,563,277
C2324,3,0,PUNJAB,Urban,Total,147822,66407,81415,17680,7321,10359,39005,14989,24016,5829,2737,3092,22443,10877,11566,12572,6982,5590,5765,3341,2424,34957,14829,20128,9571,5331,4240
C2324,3,0,PUNJAB,Urban,Student,38923,21590,17333,4968,2744,2224,12971,6931,6040,1660,976,684,3287,1986,1301,1973,1162,811,410,264,146,12413,6783,5630,1241,744,497
C2324,3,0,PUNJAB,Urban,Household_duties,33853,2701,31152,4511,272,4239,10361,618,9743,1404,129,1275,5309,472,4837,1753,304,1449,916,142,774,8431,592,7839,1168,172,996
C2324,3,0,PUNJAB,Urban,Dependent,58208,31899,26309,6173,3186,2987,12062,5365,6697,2150,1247,903,9709,5767,3942,7984,4911,3073,3775,2450,1325,10240,5256,4984,6115,3717,2398
C2324,3,0,PUNJAB,Urban,Pensioner,6453,4216,2237,1013,599,414,1521,982,539,225,156,69,1679,1135,544,168,112,56,172,117,55,1247,830,417,428,285,143
C2324,3,0,PUNJAB,Urban,Rentier,415,274,141,61,35,26,87,39,48,22,14,8,104,76,28,18,13,5,33,27,6,57,42,15,33,28,5
C2324,3,0,PUNJAB,Urban,Beggar _Vagrants_etc.,1037,623,414,52,40,12,67,46,21,22,12,10,335,219,116,28,20,8,25,14,11,387,206,181,121,66,55
C2324,3,0,PUNJAB,Urban,Others,8933,5104,3829,902,445,457,1936,1008,928,346,203,143,2020,1222,798,648,460,188,434,327,107,2182,1120,1062,465,319,146
C2324,4,0,CHANDIGARH,Total,Total,10155,4858,5297,1166,564,602,1600,548,1052,629,288,341,2308,1108,1200,988,601,387,641,346,295,1681,794,887,1142,609,533
C2324,4,0,CHANDIGARH,Total,Student,2840,1644,1196,407,265,142,511,228,283,255,150,105,477,291,186,269,175,94,91,57,34,611,348,263,219,130,89
C2324,4,0,CHANDIGARH,Total,Household_duties,1963,86,1877,259,9,250,474,14,460,136,5,131,494,16,478,60,10,50,99,7,92,335,12,323,106,13,93
C2324,4,0,CHANDIGARH,Total,Dependent,3876,2117,1759,318,159,159,387,157,230,170,87,83,821,443,378,602,376,226,376,224,152,540,308,232,662,363,299
C2324,4,0,CHANDIGARH,Total,Pensioner,822,578,244,115,89,26,163,124,39,30,24,6,303,200,103,8,4,4,21,14,7,95,69,26,87,54,33
C2324,4,0,CHANDIGARH,Total,Rentier,81,57,24,10,9,1,10,5,5,2,2,0,36,30,6,3,2,1,1,1,0,11,4,7,8,4,4
C2324,4,0,CHANDIGARH,Total,Beggar _Vagrants_etc.,33,28,5,6,6,0,1,0,1,1,1,0,16,16,0,3,1,2,2,2,0,2,2,0,2,0,2
C2324,4,0,CHANDIGARH,Total,Others,540,348,192,51,27,24,54,20,34,35,19,16,161,112,49,43,33,10,51,41,10,87,51,36,58,45,13
C2324,4,0,CHANDIGARH,Rural,Total,220,102,118,22,7,15,15,10,5,28,7,21,71,35,36,15,6,9,16,7,9,26,15,11,27,15,12
C2324,4,0,CHANDIGARH,Rural,Student,65,35,30,6,3,3,5,3,2,10,5,5,11,8,3,4,2,2,6,1,5,15,8,7,8,5,3
C2324,4,0,CHANDIGARH,Rural,Household_duties,46,0,46,5,0,5,1,0,1,10,0,10,23,0,23,1,0,1,2,0,2,2,0,2,2,0,2
C2324,4,0,CHANDIGARH,Rural,Dependent,82,46,36,8,2,6,5,3,2,5,0,5,23,16,7,9,3,6,8,6,2,9,7,2,15,9,6
C2324,4,0,CHANDIGARH,Rural,Pensioner,13,10,3,2,2,0,4,4,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,1,0,1
C2324,4,0,CHANDIGARH,Rural,Rentier,4,4,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
C2324,4,0,CHANDIGARH,Rural,Beggar _Vagrants_etc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2324,4,0,CHANDIGARH,Rural,Others,10,7,3,1,0,1,0,0,0,1,0,1,6,5,1,1,1,0,0,0,0,0,0,0,1,1,0
C2324,4,0,CHANDIGARH,Urban,Total,9935,4756,5179,1144,557,587,1585,538,1047,601,281,320,2237,1073,1164,973,595,378,625,339,286,1655,779,876,1115,594,521
C2324,4,0,CHANDIGARH,Urban,Student,2775,1609,1166,401,262,139,506,225,281,245,145,100,466,283,183,265,173,92,85,56,29,596,340,256,211,125,86
C2324,4,0,CHANDIGARH,Urban,Household_duties,1917,86,1831,254,9,245,473,14,459,126,5,121,471,16,455,59,10,49,97,7,90,333,12,321,104,13,91
C2324,4,0,CHANDIGARH,Urban,Dependent,3794,2071,1723,310,157,153,382,154,228,165,87,78,798,427,371,593,373,220,368,218,150,531,301,230,647,354,293
C2324,4,0,CHANDIGARH,Urban,Pensioner,809,568,241,113,87,26,159,120,39,30,24,6,297,196,101,8,4,4,21,14,7,95,69,26,86,54,32
